Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Sideways,7.80,69778,71502303,109705641,17000000
Arthur et les Minimoys,5.90,7626,15132763,110102340,80000000
Casino,8.10,108634,42438300,110400000,52000000
L.A. Confidential,8.40,165161,64604977,110604977,35000000
Doctor Zhivago,8.00,27671,111721000,111721000,11000000
Dear John,7.00,246,80014842,112014842,25000000
We Were Soldiers,6.90,42580,78120196,114658262,70000000
Snow Dogs,4.90,7561,81150692,115010692,32000000
Get Shorty,6.90,33364,72021008,115021008,30250000
Rambo,7.30,82600,42754105,116754105,47500000
The Client,6.50,19299,92115211,117615211,45000000
Charlie Wilson's War,7.30,43168,66661095,118661095,75000000
Pride and Prejudice,5.50,1230,38372662,120918508,28000000
Starship Troopers,7.10,83516,54768952,121100000,100000000
Sahara,5.90,30739,68671925,121671925,145000000
The Princess Diaries 2: Royal Engagement,5.30,12439,95149435,122071435,45000000
Nanny McPhee,6.70,13391,47279279,122540909,25000000
Big Fish,8.10,141099,66432867,123432867,70000000
Coraline,7.80,38464,75286229,124062750,60000000
First Blood,7.40,56369,47212904,125212904,14000000
I Know What You Did Last Summer,5.40,36807,72250091,125250091,17000000
Julie & Julia,7.20,22269,94125426,126646119,40000000
1408,6.90,72913,71985628,128529299,22500000
Mean Girls,7.00,63607,86047227,128947227,18000000
The Forbidden Kingdom,6.70,36548,52075270,129075270,55000000
Atonement,7.90,75491,50980159,129425746,30000000
About a Boy,7.40,48875,40803000,129949664,27000000
Perfume: The Story of a Murderer,7.50,51704,2223293,132180323,63700000
The Cat in the Hat,3.40,15318,101018283,133818283,109000000
Sense and Sensibility,7.70,31279,42993774,134993774,16500000
Stardust,7.90,87883,38634938,135556675,70000000
The Jungle Book 2,5.20,2740,47901582,135703599,20000000
Bridge to Terabithia,7.40,34482,82234139,136934139,25000000
Cloudy with a Chance of Meatballs,7.20,19913,124870275,139525862,100000000
Anastasia,6.60,16513,58403409,139801410,53000000
The Devil's Own,5.80,21331,42885593,140900000,90000000
Charlotte's Web,6.70,8028,82985708,143985708,82500000
Seabiscuit,7.40,31033,120277854,148336445,86000000
The General's Daughter,6.10,23570,102705852,149705852,60000000
The Bone Collector,6.30,46961,66488090,151463090,48000000
Congo,4.60,17954,81022333,152022333,50000000
A Time to Kill,7.10,38577,108766007,152266007,40000000
Chocolat,7.30,56176,71309760,152500343,25000000
Mystic River,8.00,119484,90135191,156835191,30000000
21,6.70,60918,81159365,157852532,35000000
Memoirs of a Geisha,7.10,38695,57010853,161510853,85000000
Payback,5.80,304,81526121,161626121,50000000
Cold Mountain,7.30,51083,95632614,161632614,80000000
No Country for Old Men,8.30,197898,74273505,162103209,25000000
The Spiderwick Chronicles,6.80,18715,71195053,162839667,92500000
The Princess Diaries,5.90,23486,108244774,165334774,30000000
Sleepers,7.30,51874,53300852,165600852,44000000
